Seizure DateTime,CallTypeId,ALI Latitude,ALI Longitude,Cell Tower Address
3/3/2020 0:56,911 Calls,36.135086,-86.811302,1301 MEDICAL CENTER DR - S Sector
3/3/2020 0:56,911 Calls,36.172496,-86.576128,4316 CENTRAL PIKE - SE
3/3/2020 0:57,911 Calls,,,
3/3/2020 0:58,911 Calls,36.167431,-86.79686,907 12TH AV N - N
3/3/2020 0:58,911 Calls,36.170437,-86.801651,179 8TH AVE N - NW SECTOR
3/3/2020 0:58,911 Calls,36.179554,-86.600502,5655 FIRST BLVD - SECTOR NE
3/3/2020 0:58,911 Calls,36.175017,-86.781929,10-C LUCILLE STREET - SE SECTOR
3/3/2020 0:58,911 Calls,36.072075,-86.63681,2747-B MURFREESBORO PKE - SECTOR SWNE
3/3/2020 0:58,911 Calls,36.170629,-86.79137,WIRELESS CALLER
3/3/2020 0:58,911 Calls,36.173172,-86.78521,401 JACKSON ST - NW
3/3/2020 0:58,911 Calls,36.175221,-86.741223,WIRELESS CALLER
3/3/2020 0:58,911 Calls,36.176112,-86.720002,254 RIVERSIDE DR - N
3/3/2020 0:58,911 Calls,36.238552,-86.822548,822 C FLINT RIDGE DR - W Sector
3/3/2020 0:58,911 Calls,36.174385,-86.727081,254 RIVERSIDE DR - SE
3/3/2020 0:59,911 Calls,36.180103,-86.600227,4940 OLD HICKORY BLVD. - SE SECTOR
3/3/2020 0:59,911 Calls,36.048943,-86.722794,5646 AMALIE DR - SE
3/3/2020 0:59,911 Calls,36.172859,-86.793068,1409 JEFFERSON STREET - N SECTOR
3/3/2020 0:59,911 Calls,36.174599,-86.761841,10-C LUCILLE STREET - SE SECTOR
3/3/2020 0:59,911 Calls,36.172497,-86.576126,4316 CENTRAL PIKE - SE
3/3/2020 0:59,911 Calls,36.174385,-86.727081,254 RIVERSIDE DR - SE
3/3/2020 0:59,911 Calls,36.185049,-86.74824,WIRELESS CALLER
3/3/2020 0:59,911 Calls,36.221709,-86.768131,2955 BRICK CHURCH PARKWAY - SE SECTOR
3/3/2020 0:59,911 Calls,36.174404,-86.727081,254 RIVERSIDE DR - N
3/3/2020 0:59,911 Calls,36.18153,-86.75957,WIRELESS CALLER
3/3/2020 0:59,911 Calls,36.19611,-86.77388,10-C LUCILLE STREET - SE SECTOR
3/3/2020 1:00,911 Calls,36.189212,-86.757231,859 GRANADA AVE - S
3/3/2020 1:00,911 Calls,36.169825,-86.812956,2101 E HEIMAN ST - N
3/3/2020 1:00,911 Calls,36.186989,-86.628052,3333 LEBANON PIKE - SE
3/3/2020 1:00,911 Calls,36.17535,-86.804756,1409 JEFFERSON ST - N SECTOR
3/3/2020 1:00,911 Calls,36.194843,-86.729057,2002 CAHAL AVE - SE
3/3/2020 1:00,911 Calls,36.176509,-86.754527,859 GRANADA AVE - S
3/3/2020 1:00,911 Calls,36.178215,-86.692278,WIRELESS CALLER
3/3/2020 1:00,911 Calls,36.17505,-86.814716,2101-D HEIMAN ST - SECTOR N
3/3/2020 1:01,911 Calls,36.176357,-86.746094,2002 CAHAL AVE - SW
3/3/2020 1:01,911 Calls,36.179211,-86.754593,1051 CHICAMAUGA AVE - SECTOR SW
3/3/2020 1:02,911 Calls,36.167572,-86.780235,300 JAMES ROBERTSON PKY - SE Sector
3/3/2020 1:02,911 Calls,36.189213,-86.757233,861C GRANADA AV - S
3/3/2020 1:02,911 Calls,36.198429,-86.766953,1316 JEWEL ST - W Sector
3/3/2020 1:02,911 Calls,36.191463,-86.602051,4800 OLD HICKORY BLVD - SECTOR SE
3/3/2020 1:02,911 Calls,36.199715,-86.619987,4914 OLD HICKORY BLVD - SE Sector
3/3/2020 1:02,911 Calls,36.139206,-86.810829,1519 NATCHEZ TRCE - N
3/3/2020 1:02,911 Calls,36.163021,-86.776802,212 COMMERCE ST - NW
3/3/2020 1:03,911 Calls,,,
3/3/2020 1:04,911 Calls,36.167721,-86.78051,300 JAMES ROBERTSON PKY - N Sector
3/3/2020 1:04,911 Calls,36.175253,-86.750386,WIRELESS CALLER
3/3/2020 1:05,911 Calls,36.169697,-86.764977,411 FATHERLAND ST - N Sector
3/3/2020 1:05,911 Calls,36.174866,-86.755127,2025B METRO CENTER BLVD. - E SECTOR
3/3/2020 1:06,911 Calls,36.231258,-86.600952,451 SHUTE LN - SECTOR SE
3/3/2020 1:06,911 Calls,,,
3/3/2020 1:07,911 Calls,,,
3/3/2020 1:08,911 Calls,36.179375,-86.599861,4940 OLD HICKORY BLVD. - SE SECTOR
3/3/2020 1:08,911 Calls,36.185047,-86.748283,1051G CHICAMAUGA AVE - S
3/3/2020 1:08,911 Calls,36.170284,-86.803619,2301 BOOKER ST - NW SECTOR
3/3/2020 1:08,911 Calls,36.185027,-86.645265,WIRELESS CALLER
3/3/2020 1:08,911 Calls,36.166016,-86.762871,707 3RD AVENUE SOUTH - NE SECTOR
3/3/2020 1:09,911 Calls,36.169823,-86.812958,2101 E HEIMAN ST - N
3/3/2020 1:09,911 Calls,36.184115,-86.648483,WIRELESS CALLER
3/3/2020 1:09,911 Calls,36.181293,-86.599731,906 CHANDLER RADFORD RD - SECTOR SW
3/3/2020 1:10,911 Calls,36.143882,-86.751781,WIRELESS CALLER
3/3/2020 1:10,911 Calls,36.179867,-86.600997,4940 OLD HICKORY BLVD - SE SECTOR
3/3/2020 1:11,911 Calls,,,
3/3/2020 1:11,911 Calls,36.179974,-86.600014,4940 OLD HICKORY BLVD - SE SECTOR
3/3/2020 1:12,911 Calls,36.177431,-86.755879,861C GRANADA AV - S
3/3/2020 1:13,911 Calls,36.101665,-86.871109,5801 OLD HARDING PIKE - SW SECTOR
3/3/2020 1:13,911 Calls,36.176689,-86.877991,1820-A LINDER INDUSTRIAL DR - SECTOR SW
3/3/2020 1:13,911 Calls,36.189213,-86.757233,859 GRANADA AVE - S
3/3/2020 1:14,911 Calls,36.181927,-86.611168,4940 OLD HICKORY BLVD. - SE SECTOR
3/3/2020 1:14,911 Calls,36.174202,-86.762253,411-C Fatherland ST - SE Sector
3/3/2020 1:14,911 Calls,36.153581,-86.886942,5758 RIVER RD - N
3/3/2020 1:14,911 Calls,36.17417,-86.737897,859C GRANADA AVE - SE
